index,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15
75,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
76,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1
77,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1
78,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1
79,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1
80,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
81,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1
82,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
83,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1
84,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
85,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0
86,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
87,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
88,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
89,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1
90,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
91,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
92,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0
93,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1
94,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1
95,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0
96,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0
97,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1
98,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1
99,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0
100,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1
101,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
102,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
103,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
104,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
105,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
106,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1
107,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
108,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0
109,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
110,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
111,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
112,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1
113,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1
114,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1
115,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1
116,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
117,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
118,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
119,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0
120,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
121,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1
122,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
123,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
124,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
125,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1
126,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
127,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
128,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
129,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
130,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1
131,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0
132,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1
133,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1
134,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0
135,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1
136,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
137,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1
138,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
139,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
140,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1
141,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0
142,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0
143,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
144,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
145,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1
146,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
147,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
148,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
149,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
150,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
151,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
152,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1
153,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
154,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
155,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0
156,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
157,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
158,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0
159,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1
160,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
161,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0
162,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1
163,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
164,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0
165,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
166,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
167,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1
168,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1
169,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
170,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1
171,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
172,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
173,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
174,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0
175,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
176,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1
177,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1
178,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
179,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
180,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
181,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
182,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
183,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0
184,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
185,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
186,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
187,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1
188,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
189,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1
190,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1
191,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1
192,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
193,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
194,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
195,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
196,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1
197,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
198,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
199,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
200,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1
201,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1
202,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1
203,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1
204,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
205,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
206,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
207,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
208,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
209,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1
210,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0
211,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
212,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1
213,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
214,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1
215,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
216,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
217,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1
218,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1
219,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1
220,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
221,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1
222,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1
223,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
224,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
225,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1
226,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
227,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
228,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
229,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0
230,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
231,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1
232,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
233,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
234,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
235,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
236,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1
237,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
238,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
239,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
240,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
241,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
242,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
243,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1
244,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
245,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
246,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
247,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
248,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1
249,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1
250,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1
251,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
252,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1
253,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
254,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
255,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1
256,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
257,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1
258,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
259,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1
260,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
261,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1
262,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1
263,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
264,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0
265,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1
266,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
267,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
268,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
269,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1
270,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0
271,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
272,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
273,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
274,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
275,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1
276,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1
277,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
278,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1
279,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
280,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
281,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1
282,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
283,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
284,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
285,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0
286,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
287,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
288,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
289,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
290,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1
291,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
292,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1
293,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
294,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1
295,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
296,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1
297,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
298,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1
299,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1
300,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
301,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1
302,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1
303,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
304,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
305,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1
306,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1
307,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1
308,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1
309,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
310,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0
311,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0
312,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1
313,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
314,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1
315,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
316,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
317,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
318,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
319,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
320,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1
321,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
322,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
323,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1
324,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
325,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
326,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1
327,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1
328,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1
329,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1
330,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1
331,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1
332,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
333,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0
334,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0
335,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0
336,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
337,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
338,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
339,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
340,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
341,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
342,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0
343,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
344,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
345,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0
346,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
347,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0
348,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1
349,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1
350,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
351,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0
352,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
353,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1
354,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1
355,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
356,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0
357,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
358,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1
359,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1
360,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1
361,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
362,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
363,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0
364,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1
365,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
366,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1
367,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
368,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0
369,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
370,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
371,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
372,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
373,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1
374,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1
375,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
376,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
377,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
378,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
379,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
380,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
381,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
382,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1
383,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1
384,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0
385,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
386,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
387,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1
388,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
389,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
390,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
391,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
392,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1
393,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
394,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1
395,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
396,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1
397,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1
398,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
399,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1
400,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0
401,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1
402,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1
403,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
404,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0
405,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1
406,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
407,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
